year,state,state_fips,candidate,writein,candidatevotes,totalvotes,party_simplified
1976,ALABAMA,1,"CARTER, JIMMY",False,659170,1182542,DEMOCRAT
1976,ALABAMA,1,"FORD, GERALD",False,504070,1182542,REPUBLICAN
1976,ALABAMA,1,"MADDOX, LESTER",False,9198,1182542,OTHER
1976,ALABAMA,1,"BUBAR, BENJAMIN """"BEN""""",False,6669,1182542,OTHER
1976,ALABAMA,1,"HALL, GUS",False,1954,1182542,OTHER
1976,ALABAMA,1,"MACBRIDE, ROGER",False,1481,1182542,LIBERTARIAN
1976,ALASKA,2,"FORD, GERALD",False,71555,122398,REPUBLICAN
1976,ALASKA,2,"CARTER, JIMMY",False,44058,122398,DEMOCRAT
1976,ALASKA,2,"MACBRIDE, ROGER",False,6785,122398,LIBERTARIAN
1976,ARIZONA,4,"FORD, GERALD",False,418642,742697,REPUBLICAN
1976,ARIZONA,4,"CARTER, JIMMY",False,295602,742697,DEMOCRAT
1976,ARIZONA,4,"MCCARTHY, EUGENE """"GENE""""",False,19229,742697,OTHER
1976,ARIZONA,4,"MACBRIDE, ROGER",False,7647,742697,LIBERTARIAN
1976,ARIZONA,4,"CAMEJO, PETER",False,928,742697,OTHER
1976,ARIZONA,4,"ANDERSON, THOMAS J.",False,564,742697,OTHER
1976,ARIZONA,4,"MADDOX, LESTER",False,85,742697,OTHER
1976,ARKANSAS,5,"CARTER, JIMMY",False,498604,766896,DEMOCRAT
1976,ARKANSAS,5,"FORD, GERALD",False,267903,766896,REPUBLICAN
1976,ARKANSAS,5,"MADDOX, LESTER",False,389,766896,OTHER
1976,CALIFORNIA,6,"FORD, GERALD",False,3882244,7803770,REPUBLICAN
1976,CALIFORNIA,6,"CARTER, JIMMY",False,3742284,7803770,DEMOCRAT
1976,CALIFORNIA,6,"MACBRIDE, ROGER",False,56388,7803770,OTHER
1976,CALIFORNIA,6,"MADDOX, LESTER",False,51098,7803770,OTHER
1976,CALIFORNIA,6,"WRIGHT, MARGARET",False,41731,7803770,OTHER
1976,CALIFORNIA,6,"CAMEJO, PETER",False,17259,7803770,OTHER
1976,CALIFORNIA,6,"HALL, GUS",False,12766,7803770,OTHER
1976,COLORADO,8,"FORD, GERALD",False,584278,1081440,REPUBLICAN
1976,COLORADO,8,"CARTER, JIMMY",False,460801,1081440,DEMOCRAT
1976,COLORADO,8,"MCCARTHY, EUGENE """"GENE""""",False,26047,1081440,OTHER
1976,COLORADO,8,"MACBRIDE, ROGER",False,5338,1081440,LIBERTARIAN
1976,COLORADO,8,"BUBAR, BENJAMIN """"BEN""""",False,2886,1081440,OTHER
1976,COLORADO,8,"CAMEJO, PETER",False,1122,1081440,OTHER
1976,COLORADO,8,"LAROUCHE, LYNDON, JR.",False,565,1081440,OTHER
1976,COLORADO,8,"HALL, GUS",False,403,1081440,OTHER
1976,CONNECTICUT,9,"FORD, GERALD",False,719261,1376046,REPUBLICAN
